,id1,id2,lat1,lon1,lat2,lon2,TravelTime,Distance
66,27339,88310,33.663511,-117.85639,37.773345,-122.40848,428.3364133,681.2070674
67,27339,88315,33.663511,-117.85639,37.809238,-122.25566,409.3596648,665.3193559
68,27339,88318,33.663511,-117.85639,38.573852,-121.38246,424.5893457,698.0608225
69,27339,88320,33.663511,-117.85639,38.679592,-121.32059,431.3000628,710.931553
70,27339,121860,33.663511,-117.85639,37.8342167,-122.28154,411.7545767,668.2875562
71,27339,122225,33.663511,-117.85639,33.406218,-111.99245,344.6840362,590.2136185
72,27339,153941,33.663511,-117.85639,34.001326,-117.83048,42.03072901,46.30882072
73,27339,153942,33.663511,-117.85639,33.70336,-117.92688,12.69195259,10.75241564
74,30131,33581,33.858556,-118.31461,33.941383,-118.37787,15.02243308,13.63008832
75,30131,33582,33.858556,-118.31461,33.2144417,-117.38703,87.51318055,123.8769094
76,30131,48407,33.858556,-118.31461,37.8342676,-122.28158,381.6460026,618.3123291
77,30131,61710,33.858556,-118.31461,33.843799,-118.31332,3.246837588,2.370133827
78,30131,61950,33.858556,-118.31461,37.418914,-122.1331,375.9454203,595.6019358
79,30131,61967,33.858556,-118.31461,33.855862,-117.83774,43.3087376,47.33573785
80,30131,61968,33.858556,-118.31461,34.076363,-118.35867,46.36812573,35.37665644
81,30131,61970,33.858556,-118.31461,34.0621924,-118.17361,35.93908109,35.19612819
82,30131,61972,33.858556,-118.31461,37.271941,-121.95464,356.6722088,568.1560153
83,30131,61973,33.858556,-118.31461,36.25298,-120.23943,219.2800977,338.4317966
84,30131,61974,33.858556,-118.31461,33.648692,-117.91861,44.65514059,48.5470574
85,30131,61975,33.858556,-118.31461,37.666686,-122.10635,371.0505549,600.5235373
86,30131,61976,33.858556,-118.31461,34.200017,-118.19116,49.88624951,48.65413662
87,30131,61977,33.858556,-118.31461,37.52217,-121.9685,371.8244116,586.4219265
88,30131,61978,33.858556,-118.31461,33.661543,-117.66847,60.82964365,76.51723741
89,30131,61979,33.858556,-118.31461,33.819222,-118.18973,15.92826087,13.9473815
90,30131,61980,33.858556,-118.31461,34.101336,-118.31403,42.20344125,34.62078447
91,30131,61981,33.858556,-118.31461,33.963119,-118.42146,20.53221726,18.89198706
92,30131,61982,33.858556,-118.31461,37.888823,-122.51798,412.1697127,653.4570614
93,30131,61983,33.858556,-118.31461,34.168683,-118.83599,71.99691085,77.64735881
94,30131,61984,33.858556,-118.31461,32.933578,-117.24002,110.4132122,158.1194873
95,30131,61985,33.858556,-118.31461,37.37326,-121.91884,357.761349,569.2157722
96,30131,61986,33.858556,-118.31461,34.438155,-119.75101,133.8460475,173.0836184
97,30131,61987,33.858556,-118.31461,37.284189,-121.99933,358.3460834,571.4217739
98,30131,61988,33.858556,-118.31461,34.111868,-118.14985,42.8157672,41.11923514
99,30131,61989,33.858556,-118.31461,37.647933,-122.40601,395.984717,632.5471141
100,30131,61990,33.858556,-118.31461,39.324902,-120.22354,480.3065028,797.8417764
101,30131,62002,33.858556,-118.31461,33.889394,-118.36096,8.57824792,6.814239303
102,30131,62011,33.858556,-118.31461,37.771711,-121.97156,360.8944595,586.7107089
103,30131,62013,33.858556,-118.31461,37.405137,-122.06709,367.6581009,586.3994107
104,30131,62015,33.858556,-118.31461,37.761532,-122.20461,378.7467832,607.8829773
105,30131,62017,33.858556,-118.31461,33.519722,-117.66697,58.53242403,76.93181598
106,30131,62018,33.858556,-118.31461,34.025325,-118.46961,31.30102803,28.33382047
107,30131,62022,33.858556,-118.31461,34.166383,-118.60541,59.3468031,54.73781118
108,30131,64018,33.858556,-118.31461,38.569427,-121.52138,386.5554693,637.2198899
109,30131,88307,33.858556,-118.31461,37.780625,-122.39492,399.0496221,631.3887432
