id1,id2,lat1,lon1,lat2,lon2
1,44,33.812361,-116.395444,33.779231,-118.391752
1,46,33.812361,-116.395444,34.3788,-118.563941
1,9,33.812361,-116.395444,33.21444166,-117.3870303
1,8,33.812361,-116.395444,33.941383,-118.377866
1,20,33.812361,-116.395444,33.855862,-117.837744
1,28,33.812361,-116.395444,34.200017,-118.191164
1,35,33.812361,-116.395444,34.168683,-118.835986
1,52,33.812361,-116.395444,33.519722,-117.66697
1,85,33.812361,-116.395444,34.271547,-118.471205
1,47,33.812361,-116.395444,33.92257,-117.41057
1,2,33.812361,-116.395444,33.663511,-117.856388
1,31,33.812361,-116.395444,33.819222,-118.189733
1,53,33.812361,-116.395444,34.025325,-118.469612
1,30,33.812361,-116.395444,33.661543,-117.668467
1,38,33.812361,-116.395444,34.438155,-119.751005
1,73,33.812361,-116.395444,34.150559,-118.448431
1,15,33.812361,-116.395444,33.625226,-117.878398
1,36,33.812361,-116.395444,32.933578,-117.240016
1,43,33.812361,-116.395444,33.889394,-118.360962
1,78,33.812361,-116.395444,37.29457,-121.943848
1,91,33.812361,-116.395444,34.011345,-118.41926
1,37,33.812361,-116.395444,37.37326,-121.918838
1,76,33.812361,-116.395444,32.774023,-117.154479
1,21,33.812361,-116.395444,34.076363,-118.358673
1,89,33.812361,-116.395444,33.406218,-111.99245
1,25,33.812361,-116.395444,36.25298,-120.239432
1,39,33.812361,-116.395444,37.284189,-121.999331
1,24,33.812361,-116.395444,37.271941,-121.954643
1,81,33.812361,-116.395444,34.137006,-118.362721
2,35,33.663511,-117.856388,34.168683,-118.835986
2,92,33.663511,-117.856388,33.543319,-117.785222
2,75,33.663511,-117.856388,37.809238,-122.255662
2,25,33.663511,-117.856388,36.25298,-120.239432
2,41,33.663511,-117.856388,37.647933,-122.406006
2,27,33.663511,-117.856388,37.666686,-122.106352
2,91,33.663511,-117.856388,34.011345,-118.41926
2,9,33.663511,-117.856388,33.21444166,-117.3870303
2,81,33.663511,-117.856388,34.137006,-118.362721
2,10,33.663511,-117.856388,34.174224,-118.310447
2,43,33.663511,-117.856388,33.889394,-118.360962
2,26,33.663511,-117.856388,33.648692,-117.918614
2,52,33.663511,-117.856388,33.519722,-117.66697
2,34,33.663511,-117.856388,37.888823,-122.5179817
2,79,33.663511,-117.856388,38.679592,-121.320589
2,89,33.663511,-117.856388,33.406218,-111.99245
2,62,33.663511,-117.856388,34.063139,-117.61148
2,94,33.663511,-117.856388,33.70336,-117.926877
2,3,33.663511,-117.856388,33.858556,-118.31461
2,78,33.663511,-117.856388,37.29457,-121.943848
2,38,33.663511,-117.856388,34.438155,-119.751005
2,85,33.663511,-117.856388,34.271547,-118.471205
2,54,33.663511,-117.856388,34.166383,-118.605407
2,39,33.663511,-117.856388,37.284189,-121.999331
2,37,33.663511,-117.856388,37.37326,-121.918838
2,80,33.663511,-117.856388,37.104464,-121.015259
2,69,33.663511,-117.856388,37.780625,-122.394922
2,87,33.663511,-117.856388,37.232338,-121.772859
2,19,33.663511,-117.856388,37.418914,-122.133104
2,93,33.663511,-117.856388,34.001326,-117.830482
2,29,33.663511,-117.856388,37.52217,-121.968501
2,14,33.663511,-117.856388,37.83426758,-122.2815812
2,88,33.663511,-117.856388,37.83421674,-122.2815383
2,46,33.663511,-117.856388,34.3788,-118.563941
3,72,33.858556,-118.31461,37.773345,-122.408478
3,23,33.858556,-118.31461,34.0621924,-118.1736142
3,69,33.858556,-118.31461,37.780625,-122.394922
3,38,33.858556,-118.31461,34.438155,-119.751005
3,35,33.858556,-118.31461,34.168683,-118.835986
3,42,33.858556,-118.31461,39.324902,-120.223537
3,27,33.858556,-118.31461,37.666686,-122.106352
3,73,33.858556,-118.31461,34.150559,-118.448431
3,28,33.858556,-118.31461,34.200017,-118.191164
3,18,33.858556,-118.31461,33.843799,-118.313324
3,92,33.858556,-118.31461,33.543319,-117.785222
3,24,33.858556,-118.31461,37.271941,-121.954643
