id1,id2
88,14
97,47
66,67
72,69
3,18
90,94
24,78
75,88
14,75
70,72
71,14
71,88
39,24
15,26
8,33
15,2
53,91
32,21
39,78
70,69
33,91
43,3
40,23
43,8
81,32
2,26
90,26
49,19
94,26
10,81
74,49
43,18
21,81
51,75
75,71
2,94
73,81
32,10
74,39
53,33
8,91
37,78
91,21
90,2
94,15
33,43
78,74
93,22
44,18
37,74
41,70
15,90
28,40
51,88
51,14
3,8
24,74
62,22
52,92
44,3
28,10
19,74
69,14
69,88
21,73
24,37
21,53
21,10
18,31
17,65
77,56
19,45
39,37
82,45
82,19
31,3
18,8
92,15
43,44
53,8
69,75
77,79
10,73
14,72
72,88
32,73
73,85
49,37
51,27
32,23
71,69
21,33
72,41
32,91
71,51
53,73
75,72
43,91
54,73
46,85
39,49
41,69
2,92
91,81
21,8
71,72
40,32
3,33
23,28
29,49
73,91
52,30
32,28
53,81
72,34
93,20
34,69
70,88
70,14
10,40
78,49
18,33
27,48
32,53
87,78
75,70
24,87
51,69
85,54
92,30
92,26
29,37
23,21
28,81
30,2
49,45
43,31
23,10
49,82
49,24
81,85
72,51
8,44
43,53
32,33
10,85
34,70
19,29
32,8
70,71
94,20
55,59
39,19
31,44
81,23
76,36
70,51
3,91
37,19
40,21
29,74
40,81
30,15
33,81
54,53
29,27
37,87
34,71
51,48
27,75
33,44
28,21
10,91
21,43
20,90
39,87
45,74
33,73
91,18
54,35
79,56
93,62
22,20
20,2
34,14
88,34
78,19
8,81
41,51
31,8
92,94
10,53
82,27
75,41
81,54
19,24
41,82
15,52
90,92
23,8
30,26
23,91
53,3
41,88
14,41
82,29
2,52
32,85
74,82
46,54
32,43
85,21
62,97
8,73
27,88
20,26
14,27
62,47
91,54
28,73
30,94
57,58
21,3
34,75
53,18
21,54
6,59
29,78
75,48
33,23
68,84
33,10
43,23
20,15
91,44
31,90
3,23
45,39
18,21
84,55
41,27
74,87
39,29
8,10
30,20
90,30
31,33
71,41
65,95
32,3
23,31
85,28
73,23
54,10
40,91
85,53
52,26
23,18
46,73
81,43
94,31
71,27
27,19
23,53
29,48
24,29
32,54
73,40
88,48
48,14
54,33
44,53
40,8
27,69
