stationname,address,City,State,zip,Lat,Lon
Mass Transportation Authority - Grand Blanc Alternative Fueling Center,5091 S Dort Hwy,Flint,MI,48507,42.957467,-83.652711
Stone Edge Farm Estate Winery,21692 8th St E #110,Sonoma,CA,95476,38.259353,-122.440562
Air Liquide,797 Peninsula Blvd,Hempstead,NY,11550,40.69261,-73.631777
SERVCO,2850 Pukoloa St,Honolulu,HI,96819,21.343935,-157.897062
Hawaii Department of Transportation,,Honolulu,HI,96819,21.342241,-157.883736
Air Liquide,333 W River St,Providence,RI,2904,41.845594,-71.412407
Shell - San Francisco 3rd St,551 3rd St,San Francisco,CA,94107,37.780625,-122.394922
Shell - San Francisco Mission St,3550 Mission St,San Francisco,CA,94110,37.740188,-122.423654
Shell - Berkeley,1250 University Ave,Berkeley,CA,94702,37.86954,-122.287002
Shell - San Francisco Harrison St,1201 Harrison St,San Francisco,CA,94103,37.773345,-122.408478
FirstElement - Sherman Oaks,14478 Ventura Blvd,Sherman Oaks,CA,91423,34.150559,-118.448431
FirstElement - Sunnyvale,1296 Sunnyvale Saratoga Rd,Sunnyvale,CA,94087,37.352308,-122.03189
True Zero - FirstElement - Oakland,350 Grand Ave,Oakland,CA,94610,37.809238,-122.255662
FirstElement - San Diego,5494 Mission Center Rd,San Diego,CA,92108,32.774023,-117.154479
Shell - Sacramento,3510 Fair Oaks Blvd,Sacramento,CA,95864,38.573852,-121.382464
FirstElement - Campbell,337 E Hamilton Ave,Campbell,CA,95008,37.29457,-121.943848
Shell - Citrus Heights,6141 Greenback Ln,Citrus Heights,CA,95621,38.679592,-121.320589
Air Liquide - Santa Nella,12754 State Highway 33,Santa Nella,CA,95322,37.104464,-121.015259
FirstElement - Studio City,3780 Cahuenga Blvd,Studio City,CA,91604,34.137006,-118.362721
FirstElement - Redwood City,503 Whipple Ave,Redwood City,CA,94063,37.49413,-122.23455
Air Liquide,165 Leibert Rd,Hartford,CT,6120,41.787405,-72.655723
Air Liquide,377 Chauncy St,Mansfield,MA,2048,42.032707,-71.236044
FirstElement - Mission Hills,15544 San Fernando Mission Blvd,Mission Hills,CA,91345,34.271547,-118.471205
Fort Lewis,McKinley Ave & Garfield St,Fort Lewis,WA,98433,47.10579,-122.539
Shell - San Jose,101 Bernal Rd,San Jose,CA,95119,37.232338,-121.772859
AC Transit - Emeryville,1172 45th St,Emeryville,CA,94608,37.83421674,-122.2815383
Nel - Nikola,4141 E Broadway Rd,Phoenix,AZ,85040,33.406218,-111.99245
FirstElement - Fountain Valley,18480 Brookhurst St,Fountain Valley,CA,92708,33.694427,-117.953748
FirstElement - Culver City,11284 Venice Blvd,Culver City,CA,90230,34.011345,-118.41926
FirstElement - Laguna Beach,104 N Coast Hwy,Laguna Beach,CA,92651,33.543319,-117.785222
South Coast Air Quality Management District - Diamond Bar,21865 Copley Dr,Diamond Bar,CA,91765,34.001326,-117.830482
Trillium - Orange County Transportation Authority - Santa Ana,4301 E MacArthur Blvd,Santa Ana,CA,92704,33.70336,-117.926877
Air Liquide - Bronx,2274 Tillotson Ave,Bronx,NY,10475,40.882236,-73.827011
Air Liquide - Farmingville,N Ocean Ave and Horseblock Rd,Farmingville,NY,11738,40.830039,-73.021101
City of Riverside,8095 Lincoln Ave,Riverside,CA,92504,33.92399216,-117.4119492
