id1,id2,lat1,lon1,lat2,lon2
21796,27339,33.812361,-116.395444,33.663511,-117.856388
21796,30131,33.812361,-116.395444,33.858556,-118.31461
21796,33581,33.812361,-116.395444,33.941383,-118.377866
21796,33582,33.812361,-116.395444,33.21444166,-117.3870303
21796,61710,33.812361,-116.395444,33.843799,-118.313324
21796,61967,33.812361,-116.395444,33.855862,-117.837744
21796,61968,33.812361,-116.395444,34.076363,-118.358673
21796,61970,33.812361,-116.395444,34.0621924,-118.1736142
21796,61972,33.812361,-116.395444,37.271941,-121.954643
21796,61973,33.812361,-116.395444,36.25298,-120.239432
21796,61974,33.812361,-116.395444,33.648692,-117.918614
21796,61976,33.812361,-116.395444,34.200017,-118.191164
21796,61978,33.812361,-116.395444,33.661543,-117.668467
21796,61979,33.812361,-116.395444,33.819222,-118.189733
21796,61980,33.812361,-116.395444,34.101336,-118.314034
21796,61981,33.812361,-116.395444,33.963119,-118.421458
21796,61983,33.812361,-116.395444,34.168683,-118.835986
21796,61984,33.812361,-116.395444,32.933578,-117.240016
21796,61985,33.812361,-116.395444,37.37326,-121.918838
21796,61986,33.812361,-116.395444,34.438155,-119.751005
21796,61987,33.812361,-116.395444,37.284189,-121.999331
21796,61988,33.812361,-116.395444,34.111868,-118.149849
21796,62002,33.812361,-116.395444,33.889394,-118.360962
21796,62017,33.812361,-116.395444,33.519722,-117.66697
21796,62018,33.812361,-116.395444,34.025325,-118.469612
21796,62022,33.812361,-116.395444,34.166383,-118.605407
21796,122225,33.812361,-116.395444,33.406218,-111.99245
21796,153941,33.812361,-116.395444,34.001326,-117.830482
21796,153942,33.812361,-116.395444,33.70336,-117.926877
27339,30131,33.663511,-117.856388,33.858556,-118.31461
27339,33581,33.663511,-117.856388,33.941383,-118.377866
27339,33582,33.663511,-117.856388,33.21444166,-117.3870303
27339,48407,33.663511,-117.856388,37.83426758,-122.2815812
27339,61710,33.663511,-117.856388,33.843799,-118.313324
27339,61950,33.663511,-117.856388,37.418914,-122.133104
27339,61967,33.663511,-117.856388,33.855862,-117.837744
27339,61968,33.663511,-117.856388,34.076363,-118.358673
27339,61970,33.663511,-117.856388,34.0621924,-118.1736142
27339,61972,33.663511,-117.856388,37.271941,-121.954643
27339,61973,33.663511,-117.856388,36.25298,-120.239432
27339,61974,33.663511,-117.856388,33.648692,-117.918614
27339,61975,33.663511,-117.856388,37.666686,-122.106352
27339,61976,33.663511,-117.856388,34.200017,-118.191164
27339,61977,33.663511,-117.856388,37.52217,-121.968501
27339,61978,33.663511,-117.856388,33.661543,-117.668467
27339,61979,33.663511,-117.856388,33.819222,-118.189733
27339,61980,33.663511,-117.856388,34.101336,-118.314034
27339,61981,33.663511,-117.856388,33.963119,-118.421458
27339,61982,33.663511,-117.856388,37.888823,-122.5179817
27339,61983,33.663511,-117.856388,34.168683,-118.835986
27339,61984,33.663511,-117.856388,32.933578,-117.240016
27339,61985,33.663511,-117.856388,37.37326,-121.918838
27339,61986,33.663511,-117.856388,34.438155,-119.751005
27339,61987,33.663511,-117.856388,37.284189,-121.999331
27339,61988,33.663511,-117.856388,34.111868,-118.149849
27339,61989,33.663511,-117.856388,37.647933,-122.406006
27339,62002,33.663511,-117.856388,33.889394,-118.360962
27339,62011,33.663511,-117.856388,37.771711,-121.971556
27339,62013,33.663511,-117.856388,37.405137,-122.067089
27339,62015,33.663511,-117.856388,37.761532,-122.204613
27339,62017,33.663511,-117.856388,33.519722,-117.66697
27339,62018,33.663511,-117.856388,34.025325,-118.469612
27339,62022,33.663511,-117.856388,34.166383,-118.605407
27339,64018,33.663511,-117.856388,38.569427,-121.521377
27339,88307,33.663511,-117.856388,37.780625,-122.394922
27339,88308,33.663511,-117.856388,37.740188,-122.423654
27339,88310,33.663511,-117.856388,37.773345,-122.408478
27339,88315,33.663511,-117.856388,37.809238,-122.255662
27339,88318,33.663511,-117.856388,38.573852,-121.382464
27339,88320,33.663511,-117.856388,38.679592,-121.320589
27339,121860,33.663511,-117.856388,37.83421674,-122.2815383
27339,122225,33.663511,-117.856388,33.406218,-111.99245
27339,153941,33.663511,-117.856388,34.001326,-117.830482
27339,153942,33.663511,-117.856388,33.70336,-117.926877
30131,33581,33.858556,-118.31461,33.941383,-118.377866
30131,33582,33.858556,-118.31461,33.21444166,-117.3870303
30131,48407,33.858556,-118.31461,37.83426758,-122.2815812
30131,61710,33.858556,-118.31461,33.843799,-118.313324
30131,61950,33.858556,-118.31461,37.418914,-122.133104
30131,61967,33.858556,-118.31461,33.855862,-117.837744
30131,61968,33.858556,-118.31461,34.076363,-118.358673
30131,61970,33.858556,-118.31461,34.0621924,-118.1736142
30131,61972,33.858556,-118.31461,37.271941,-121.954643
30131,61973,33.858556,-118.31461,36.25298,-120.239432
30131,61974,33.858556,-118.31461,33.648692,-117.918614
30131,61975,33.858556,-118.31461,37.666686,-122.106352
30131,61976,33.858556,-118.31461,34.200017,-118.191164
30131,61977,33.858556,-118.31461,37.52217,-121.968501
30131,61978,33.858556,-118.31461,33.661543,-117.668467
30131,61979,33.858556,-118.31461,33.819222,-118.189733
30131,61980,33.858556,-118.31461,34.101336,-118.314034
30131,61981,33.858556,-118.31461,33.963119,-118.421458
30131,61982,33.858556,-118.31461,37.888823,-122.5179817
30131,61983,33.858556,-118.31461,34.168683,-118.835986
30131,61984,33.858556,-118.31461,32.933578,-117.240016
30131,61985,33.858556,-118.31461,37.37326,-121.918838
30131,61986,33.858556,-118.31461,34.438155,-119.751005
30131,61987,33.858556,-118.31461,37.284189,-121.999331
