stations1,name,ZIP1,lat1,lon1,geom1
University of California Irvine,South Coast Air Quality Management District - Diamond Bar,92612,33.663511,-117.856388,0101000020E6100000A4C4AEEDEDD44040F52B9D0FCF765DC0
Shell - Torrance,Los Angeles International Airport,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,SunHydro - Wallingford,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Messer - Emeryville,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Air Liquide - Palo Alto,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Air Liquide - Anaheim,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Air Products and Chemicals Inc - Los Angeles,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,California State University Los Angeles - Hydrogen Research & Fueling Facility,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Campbell,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Coalinga,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Costa Mesa,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Hayward,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - La Canada Flintridge,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Fremont,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Lake Forest,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Long Beach,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Hollywood Blvd,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Lincoln Blvd,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Mill Valley,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Thousand Oaks,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Del Mar,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - San Jose,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Santa Barbara,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Saratoga,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - South Pasadena,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - South San Francisco,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,FirstElement - Truckee,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Air Products and Chemicals Inc - Lawndale,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Iwatani - San Ramon,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Iwatani - Mountain View,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Iwatani - San Juan Capistrano,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
Shell - Torrance,Air Products and Chemicals Inc - Santa Monica,90501,33.858356,-118.31461,0101000020E6100000A629029CDEED4040A73FFB9122945DC0
